SMILES2,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-prediction,LogP model (ALogP)-prediction
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,2.22,3.21,2.84
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,4.12,2.95,4.44
Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,-2.13,-1.03,-1.24
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,0.46,1.06,0.48
O=C(O)c1ccccc1O,3.36,1.13,1.17
O=c1[nH]c(=O)c2[nH]cnc2[nH]1,-0.54,-0.86,-0.72
NC(C(=O)O)c1ccccc1,-2.14,0.93,0.63
O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,-1.06,-1.22,-1.76
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C(F)(F)F,-0.78,-0.23,-0.78
O=C(CBr)c1ccccc1,2.02,2.3,2.46
NCCCC(N)C(=O)O,-3.48,-0.65,-1.14
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,7.15,4.8,7.26
NC(=O)CC(N)C(=O)O,-4.98,-1.55,-1.85
Cc1ccc(S(N)(=O)=O)cc1,0.92,1.18,1.14
CCC(=O)c1ccc(O)cc1,1.68,1.54,1.97
NC(Cc1cnc[nH]1)C(=O)O,-3.22,-0.84,-1.15
CCCO,0.35,0.35,0.51
Nc1cc[nH]c(=O)n1,0.1,-0.84,-0.96
O=c1nc[nH]c(=O)[nH]1,-0.07,-0.46,-0.34
CCCCO,0.84,0.8,0.97
CCCCCO,1.33,1.21,1.43
c1ccccc1,1.99,2.25,1.83
CC(Cl)(Cl)Cl,2.68,2.23,2.03
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,0.68,1.66,3.1
CC[N+](CC)(CC)CC.[Br-],-,-,-
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,0.72,0.63,1.08
CC(C)C(N)C(=O)O,-2.08,0.16,0.24
CC(O)C(N)C(=O)O,-4.04,-1.06,-1.11
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,6.18,4.27,4.97
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,6.39,5.93,5.75
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,6.8,5.85,5.93
CNCCC=C1c2ccccc2CCc2ccccc21,5.54,4.53,4.24
Nc1ncnc2[nH]cnc12,-0.88,-0.32,-0.58
CCC(C)C(N)C(=O)O,-1.59,0.54,0.7
Nc1nc2[nH]cnc2c(=O)[nH]1,-2.64,-0.86,-0.94
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,0.88,2.25,2.53
O=C(O)c1ccc(Cl)cc1,2.52,2.3,2.1
N=C(N)NCCCC(N)C(=O)O,-4,-0.72,-1.4
C,0.23,1.12,1.38
CBr,1.18,1.11,0.99
CC,1.32,1.76,1.28
C=C,1.27,0.7,0.95
C#C,0.5,0.7,1.98
CCl,1.09,0.84,0.85
CI,1.59,1.36,1.52
CN,-0.64,-0.81,-0.65
C#N,0.36,-0.96,0.1
BrCBr,1.52,1.82,1.5
CCBr,1.67,1.6,1.34
ClCBr,1.43,1.6,1.28
CCC,1.81,2.28,1.74
C#CC,1.31,1.22,1.92
CCCl,1.58,1.36,1.2
CCI,2.08,1.82,1.87
